iter	Logloss
0	0.5767420899
1	0.4918247723
2	0.4305458537
3	0.381572875
4	0.3487917575
5	0.321446395
6	0.3019554133
7	0.2877772921
8	0.2781925112
9	0.2695292509
10	0.2609714815
11	0.2541950933
12	0.249505587
13	0.2445258727
14	0.2413195079
15	0.2378731119
16	0.2348970821
17	0.2319812789
18	0.2302132787
19	0.2275622489
20	0.2253618371
21	0.2231611002
22	0.2205592505
23	0.218801362
24	0.2157623609
25	0.2136969001
26	0.2125569136
27	0.2112631479
28	0.2101118229
29	0.2082040177
30	0.2059661475
31	0.2047841908
32	0.2014946413
33	0.1999201144
34	0.1985502875
35	0.1972995043
36	0.1958503792
37	0.1945304289
38	0.1931014801
39	0.192207718
40	0.1912217833
41	0.1899017445
42	0.1889429892
43	0.1879875686
44	0.1872326174
45	0.1856282241
46	0.1846953372
47	0.1842567704
48	0.1837466315
49	0.1816696916
50	0.1802574312
51	0.1794622989
52	0.1785116187
53	0.1764328709
54	0.1760140555
55	0.1753055787
56	0.174128451
57	0.1736142575
58	0.1725743197
59	0.1715003317
60	0.1709527594
61	0.1701863269
62	0.1690655991
63	0.1679567747
64	0.167602478
65	0.1663479047
66	0.1655435394
67	0.1648582325
68	0.164043105
69	0.163239908
70	0.1624892249
71	0.1613252315
72	0.1606119658
73	0.1597625536
74	0.1591176669
75	0.1579914318
76	0.1570266724
77	0.1561360065
78	0.1553106957
79	0.154458076
80	0.1531032493
81	0.1523338472
82	0.151346714
83	0.1506290616
84	0.1496693349
85	0.1488392377
86	0.1479135544
87	0.1463772279
88	0.1451739032
89	0.1444988291
90	0.1435404278
91	0.1425747562
92	0.1417019353
93	0.1405861674
94	0.1397361604
95	0.1391071675
96	0.1386131424
97	0.1375803798
98	0.1364045062
99	0.1357311075
100	0.1348666756
101	0.134232857
102	0.1336356906
103	0.1329560355
104	0.1320530954
105	0.1312668769
106	0.1308754162
107	0.1300660653
108	0.1293138041
109	0.1284273688
110	0.1277885379
111	0.1271930176
112	0.1267246749
113	0.1259718883
114	0.1252252364
115	0.1245443295
116	0.1240580653
117	0.123538623
118	0.1227869132
119	0.1222140313
120	0.1216475595
121	0.1207159606
122	0.120002577
123	0.1194752355
124	0.1186785057
125	0.1181575657
126	0.1177768417
127	0.1172283917
128	0.1167105824
129	0.1159745361
130	0.1153725825
131	0.1145748805
132	0.1142904627
133	0.1138702582
134	0.1127958341
135	0.112261404
136	0.1117161445
137	0.1114475401
138	0.1103537256
139	0.1097133695
140	0.1091559154
141	0.1084803423
142	0.1073689072
143	0.1067977624
144	0.1060997822
145	0.1056367694
146	0.1050832847
147	0.1044664411
148	0.1038657161
149	0.1035730261
150	0.1027499978
151	0.1019699276
152	0.1011773685
153	0.1006862084
154	0.1000508874
155	0.09970439852
156	0.09922645226
157	0.09895255138
158	0.09834514173
159	0.09782991264
160	0.0971502702
161	0.09689981186
162	0.09635986969
163	0.09622471573
164	0.09540602176
165	0.09491751644
166	0.09448003473
167	0.09428166131
168	0.09369225052
169	0.09308776585
170	0.09247031801
171	0.09202055693
172	0.09155003021
173	0.09107230183
174	0.09078104595
175	0.09038755301
176	0.09011173929
177	0.08963633447
178	0.08922625984
179	0.08822975678
180	0.08786613974
181	0.08749345733
182	0.08721470485
183	0.08698012808
184	0.08674626557
185	0.08653087368
186	0.08609542256
187	0.08551385634
188	0.08519922237
189	0.08452162626
190	0.08435177558
191	0.08390815953
192	0.08355431958
193	0.08320572477
194	0.08290848196
195	0.08265720962
196	0.08217335106
197	0.08198358992
198	0.08155878945
199	0.08123558149
200	0.08114213834
201	0.08059410979
202	0.08034054985
203	0.07994733125
204	0.07921090803
205	0.07884361039
206	0.07835866338
207	0.07816078786
208	0.07780450714
209	0.0773134192
210	0.0769637157
211	0.07657505462
212	0.07627435197
213	0.07600852672
214	0.07556228051
215	0.0751161625
216	0.07479079201
217	0.07458997569
218	0.07427103723
219	0.07408001123
220	0.07367718728
221	0.07334628627
222	0.07263415337
223	0.07239340643
224	0.07219682046
225	0.07203240174
226	0.07172945592
227	0.07153828057
228	0.07099758826
229	0.07083081334
230	0.07032494203
231	0.07007443218
232	0.06953644903
233	0.06925605341
234	0.06885254339
235	0.06844034368
236	0.06819370415
237	0.06787272839
238	0.06770818519
239	0.06726892032
240	0.06713844711
241	0.06690808018
242	0.0666769101
243	0.06644574854
244	0.06628448242
245	0.06590762397
246	0.06567580418
247	0.06549481188
248	0.06536856794
249	0.0651228448
250	0.06478691605
251	0.0644880489
252	0.06423542795
253	0.06396453563
254	0.06374389931
255	0.06335035397
256	0.0629778733
257	0.06273298561
258	0.06243885115
259	0.06210267048
260	0.06166647415
261	0.06136577436
262	0.06105091581
263	0.06072413824
264	0.06061962388
265	0.06049891053
266	0.06019883978
267	0.05991821037
268	0.05966827267
269	0.05940801835
270	0.05914389086
271	0.05865596205
272	0.05848895787
273	0.05834196202
274	0.05811505304
275	0.05793246841
276	0.0576798484
277	0.05741518141
278	0.05716223447
279	0.05683953133
280	0.05644031435
281	0.0561590434
282	0.05589557016
283	0.05572403584
284	0.05551976276
285	0.05537191575
286	0.05498066453
287	0.05481327822
288	0.05464703377
289	0.05440730651
290	0.05411004031
291	0.05395268842
292	0.05384522954
293	0.05368689896
294	0.0534566174
295	0.0532968919
296	0.05303991532
297	0.05279350407
298	0.05246364141
299	0.052286155
